nuts,time,mean_temperature,hot_days,total_precipitation,extreme_precipitation_days,consecutive_dry_days,mean_wind_speed,fwi
PL,1957-04-01,280.4055161859213,0.0,40.368685703924385,0.16061741246823888,6.956984217656964,2.9086590343277177,4.002712882389032
PL,1957-05-01,283.4857198154983,0.0,56.76785147834979,0.25583612136465733,6.518898422871355,3.2429321397227957,5.352041315040477
PL,1957-06-01,290.41741126276804,0.4987875142521361,53.54572536595976,0.3206767505513802,9.82608407873035,3.1684400487313042,10.891849892310105
PL,1957-07-01,291.70506979872687,1.4280264119676882,133.0057121164922,1.2198542822782241,4.89856626402838,3.192163463590343,9.859156343017819
PL,1957-08-01,289.1088733935638,0.06009986882306048,81.043299455449,0.5610346902587843,5.331799739989999,3.3590780458570912,4.541922789127221
PL,1957-09-01,284.67074485616575,0.0,96.67507693366925,0.8627967944028603,5.285189503320827,4.074613682364213,2.918755966488556
PL,1957-10-01,281.5102056758539,0.0,21.441511516808877,0.0,11.678492829547734,3.5294252012884653,2.54297329866594
PL,1957-11-01,277.29452693055055,0.0,29.22635990774046,0.13742773808184477,14.84556251001035,3.9411454969848347,3.055661634650496
PL,1957-12-01,271.7946809059425,0.0,49.086935657298326,0.7599789102546899,12.126989141292297,4.123644861979403,0.25438736385999877
PL,1958-01-01,270.3753759773399,0.0,53.20781257766054,0.6261184088148755,8.274625606057674,4.070371063388271,0.18762930698980806
PL,1958-02-01,272.7810276948052,0.0,73.29499001473526,1.4342491100032524,2.977838048036774,4.8512359584453915,0.34962666085060196
PL,1958-03-01,270.55498716103585,0.0,56.85075600770532,0.7135667207948378,7.296046027689746,3.8042833396533897,0.36409311974829617
PL,1958-04-01,277.2873991569589,0.0,55.06281432878399,0.5467671364160269,5.522372816840985,3.2491979948748053,1.3235403937057493
PL,1958-05-01,287.3930718263067,0.39732431034235377,70.80584610636492,0.4584897155707668,4.3027698124680285,3.7057336692189,5.23439915832862
PL,1958-06-01,288.06098868811205,0.0,87.56411903637772,0.8893983932274349,7.844359734571783,3.1366464337496613,6.876360383378295
PL,1958-07-01,291.2991364957254,0.5544448372628052,71.08798216777629,0.33873560456974405,7.750916582264633,3.451642972073703,7.980741872343939
PL,1958-08-01,290.0664743489565,0.008597494503988405,65.53731577217053,0.4044520796440958,5.120926323907004,3.2835755521684202,8.201111695842922
PL,1958-09-01,286.0532016264593,0.0,57.51829018122108,0.15746798668268316,7.280910333405079,3.1399203187271842,6.130992474421305
PL,1958-10-01,282.4235892080414,0.0,55.51906859366193,0.13567178895484852,6.7153816122643315,3.47034301884649,2.295002645265628
PL,1958-11-01,276.93578146932447,0.0,28.249591294739055,0.20019725257789248,15.553708279891433,2.7940240051567824,1.0641988498103794
PL,1958-12-01,273.96678015437897,0.0,46.81706344361376,0.31809483223329194,8.130608394532919,4.012440546898338,0.529090395026642
PL,1959-01-01,272.0477770873834,0.0,47.22268564762996,0.4084051947454283,7.06667765496145,4.47470908437899,0.38302447966868003
PL,1959-02-01,270.9329088508823,0.0,22.427944834267674,0.1568657178489694,16.05461957612965,3.8017248178143785,0.2718244546857317
PL,1959-03-01,277.6386460427622,0.0,20.688078256747602,0.22386438495223482,13.582046839038046,3.235821640729845,2.797611957924369
PL,1959-04-01,281.5150353383225,0.0,54.517885645642465,0.7086184570341153,5.917492868837153,4.118653160419433,6.193426859966468
PL,1959-05-01,285.6890395522319,0.0,36.63602132227358,0.22734100565878063,10.577872967581053,3.281877038012244,13.106419226242595
PL,1959-06-01,289.33625839785634,0.04490607599793849,70.38181145450304,0.5640921645140271,8.90493771555297,3.3723161421266443,15.327443412217116
PL,1959-07-01,293.2695137093625,3.5425985256053543,120.61151516656761,0.9426195361019793,9.162161703177443,2.9336785584687197,11.174709929325557
PL,1959-08-01,291.25208930255076,0.051751624611290424,52.549165211327015,0.34027960725130174,11.654335312652954,3.543757542010355,11.883175217777696
PL,1959-09-01,284.933481836552,0.0,17.0770256065949,0.0,16.88797046796596,3.3912958007305503,16.724515693954555
PL,1959-10-01,280.63509760335717,0.0,23.961716565403183,0.026384427396143224,17.029200036203637,3.5558410936456264,14.218746302008089
PL,1959-11-01,275.54308639494684,0.0,24.76839759349202,0.011473052522316216,11.385388874799498,3.3554054137986986,4.560787452057134
PL,1959-12-01,272.6067158513817,0.0,76.85564275548963,1.2625996299113902,5.4943735283755295,4.145715895955654,0.5709265899614555
PL,1960-01-01,270.4381333609691,0.0,51.934724553565324,0.6761114853302471,5.907961671523118,3.6232882193904956,0.10353796219864154
PL,1960-02-01,269.6365596589364,0.0,29.262062738086694,0.5188638301681768,9.914147097811576,3.7548888613111315,0.36573686337476796
PL,1960-03-01,274.74833184693716,0.0,31.45512674664756,0.44047061899027573,12.632903069570602,3.8594895797073696,2.2214919386537746
PL,1960-04-01,279.4079220817372,0.0,55.45837032866785,0.18231536585361696,6.025236973634972,3.3575995523719557,4.490138994033258
PL,1960-05-01,285.6723327890627,0.0,55.07651696189814,0.3874980252895096,7.381378929360435,3.038970792496304,7.628389562066456
PL,1960-06-01,289.73233038203875,0.0,79.86303203085771,0.33178384037079633,6.24593355329191,3.1787576520622105,7.2251923483822775
PL,1960-07-01,289.78187100302677,0.062072486634826604,158.74375531514568,2.0514269986484956,4.1703099441732,3.3815541302336096,4.067170832443962
